Name,MOLECULAR_FORMULA,Exact_mass,RT1,RT2,CAS,Synonyms,DTXSID,IUPACname,DTXCID,CASRN,PREFERRED_NAME,SMILES,MONOISOTOPIC_MASS_mass
C14-DDAC,C30H64N,438.503876,16.473,,68105-02-2,STD,DTXSID30987577,"N,N-Dimethyl-N-tetradecyltetradecan-1-aminium bromide",DTXCID301414736,68105-02-2,IRMGVPILCPGYNQ-UHFFFAOYSA-M,[Br-].CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,517.422214
C8:10-DDAC,C20H44N,298.3473754,14.041,,32426-11-2,STD,DTXSID9035549,Octyl decyl dimethyl ammonium chloride,DTXCID7015549,32426-11-2,SCXCDVTWABNWLW-UHFFFAOYSA-M,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCC,333.3162281
C12-DDAC,C26H56N,382.4412758,15.568,,3282-73-3,STD,DTXSID5047112,Didodecyldimethylammonium bromide,DTXCID3027112,3282-73-3,XRWMGCFJVKDVMD-UHFFFAOYSA-M,[Br-].CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,461.359614
C10-DDAC,C22H48N,326.3786755,14.335,16.109,2390-68-3,STD,DTXSID9046528,Didecyldimethylammonium bromide,DTXCID7026528,2390-68-3,UMGXUWVIJIQANV-UHFFFAOYSA-M,[Br-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,405.297014
C8-DDAC,C18H40N,270.3160753,12.334,,3026-69-5,STD,DTXSID10952627,"N,N-Dimethyl-N-octyloctan-1-aminium bromide",DTXCID201380708,3026-69-5,APTVNWGLSRAOFJ-UHFFFAOYSA-M,[Br-].CCCCCCCC[N+](C)(C)CCCCCCCC,349.234413
C18-BAC,C27H50N,388.3943256,15.451,,122-19-0,STD,DTXSID2025139,Benzalkonium chloride C18 (BAC C18),DTXCID205139,122-19-0,SFVFIFLLYFPGHH-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,423.3631783
C16-BAC,C25H46N,360.3630255,14.788,16.645,122-18-9,STD,DTXSID3041665,Benzalkonium chloride C16 (BAC C16),DTXCID1021665,122-18-9,SXPWTBGAZSPLHA-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,395.3318782
C14-BAC,C23H42N,332.3317253,13.95,,147228-81-7,STD,DTXSID4046606,Benzyldimethyltetradecylammonium chloride dihydrate,DTXCID2026606,147228-81-7,YLPZVNXGKBIJBW-UHFFFAOYSA-M,O.O.[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,403.3217074
C12-BAC,C21H38N,304.3004252,12.851,15.691,139-07-1,STD,DTXSID2040787,Benzalkonium chloride C12 (BAC C12),DTXCID7014317,139-07-1,JBIROUFYLSSYDX-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,339.2692779
C10-BAC,C19H34N,276.2691251,11.594,,965-32-2,STD,DTXSID7040780,Benzalkonium chloride C10 (BAC C10),DTXCID504596,965-32-2,TTZLKXKJIMOHHG-UHFFFAOYSA-M,[Cl-].CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,311.2379778
C8-BAC,C17H30N,248.237825,10.105,,959-55-7,STD,DTXSID6041634,Benzalkonium chloride C8 (BAC C8),DTXCID4021634,959-55-7,PXFDQFDPXWHEEP-UHFFFAOYSA-M,[Cl-].CCCCCCCC[N+](C)(C)CC1=CC=CC=C1,283.2066777
